run_id,architecture_slug,architecture_label,dataset_label,stress_slug,stress_label,scenario_index,aging_light_suns,scan_light_suns,aging_temperature_C,scan_temperature_C,light_suns,temperature_C,n_timepoints,min_aging_h,max_aging_h,PCE_initial_pct,PCE_final_pct,PCE_final_retention_pct,Voc_final_V,FF_final,Jsc_final_mAcm2,valid_metric_timepoints,raw_jv_file
arch_baseline_pin__stress_light_0p80sun_temp_360k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p80sun_temp_360k,"0.8 sun, 360 K",23,0.8,1.0,86.85000000000002,86.85000000000002,0.8,86.85000000000002,10,0,1000,22.615386759893028,19.313949499838742,85.40180941804994,1.2165864063757668,0.7876879673550796,20.154587813328657,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_1p00sun_temp_360k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_1p00sun_temp_360k,"1 sun, 360 K",24,1.0,1.0,86.85000000000002,86.85000000000002,1.0,86.85000000000002,10,0,1000,22.615386759894502,18.82647829423877,83.24632469971782,1.2110407810295358,0.7751983259009042,20.05383760783304,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p01sun_temp_380k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p01sun_temp_380k,"0 sun, 380 K",25,0.01,1.0,106.85000000000002,106.85000000000002,0.01,106.85000000000002,10,0,1000,22.61538684282482,21.38202797507632,94.54637289063305,1.248753422266402,0.8336859340348337,20.5385475518858,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p20sun_temp_380k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p20sun_temp_380k,"0.2 sun, 380 K",26,0.2,1.0,106.85000000000002,106.85000000000002,0.2,106.85000000000002,10,0,1000,22.61538684361662,19.51318890444601,86.28279957967541,1.2188521550142521,0.7916242555131627,20.22358416523997,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p40sun_temp_380k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p40sun_temp_380k,"0.4 sun, 380 K",27,0.4,1.0,106.85000000000002,106.85000000000002,0.4,106.85000000000002,10,0,1000,22.615386843620126,18.138258096703947,80.20317415804368,1.2038046558317415,0.7563326472938033,19.921714480089832,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p60sun_temp_380k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p60sun_temp_380k,"0.6 sun, 380 K",28,0.6,1.0,106.85000000000002,106.85000000000002,0.6,106.85000000000002,10,0,1000,22.61538684362364,17.063343858447173,75.45015248438321,1.19314923906548,0.7279398311865445,19.64598872596412,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p80sun_temp_380k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p80sun_temp_380k,"0.8 sun, 380 K",29,0.8,1.0,106.85000000000002,106.85000000000002,0.8,106.85000000000002,10,0,1000,22.61538669251452,16.20880719105014,71.67158984027057,1.1853949654366835,0.7050927177439736,19.392854924102487,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_1p00sun_temp_380k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_1p00sun_temp_380k,"1 sun, 380 K",30,1.0,1.0,106.85000000000002,106.85000000000002,1.0,106.85000000000002,10,0,1000,22.615386842842266,15.476998668765129,68.43570165886229,1.17941312244443,0.6849176003182454,19.159424651856902,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p01sun_temp_400k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p01sun_temp_400k,"0 sun, 400 K",31,0.01,1.0,126.85000000000002,126.85000000000002,0.01,126.85000000000002,10,0,1000,22.61538671489493,20.116892485992313,88.95223742843599,1.2268949429555889,0.80297166819189,20.419885212742926,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p20sun_temp_400k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p20sun_temp_400k,"0.2 sun, 400 K",32,0.2,1.0,126.85000000000002,126.85000000000002,0.2,126.85000000000002,10,0,1000,22.61538671411441,16.895382972396455,74.70746879535753,1.1900018629770246,0.7225796113746521,19.648739552898856,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p40sun_temp_400k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p40sun_temp_400k,"0.4 sun, 400 K",33,0.4,1.0,126.85000000000002,126.85000000000002,0.4,126.85000000000002,10,0,1000,22.61538671491124,14.917341637144764,65.96102832638789,1.1722066159519664,0.669698417849741,19.00237983697316,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p60sun_temp_400k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p60sun_temp_400k,"0.6 sun, 400 K",34,0.6,1.0,126.85000000000002,126.85000000000002,0.6,126.85000000000002,10,0,1000,22.61538671491963,13.622482025769182,60.235459147741544,1.1606324162399049,0.6348262377670857,18.488712928151596,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_0p80sun_temp_400k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_0p80sun_temp_400k,"0.8 sun, 400 K",35,0.8,1.0,126.85000000000002,126.85000000000002,0.8,126.85000000000002,10,0,1000,22.615386714928047,12.679106055734863,56.0640691912891,1.1508791381231638,0.6098534583523028,18.06481115346534,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
arch_baseline_pin__stress_light_1p00sun_temp_400k__Stress_matrix_jv_003_updated,arch_baseline_pin,Baseline p-i-n,Full-J-V light-temperature aging sweep,stress_light_1p00sun_temp_400k,"1 sun, 400 K",36,1.0,1.0,126.85000000000002,126.85000000000002,1.0,126.85000000000002,10,0,1000,22.615386563326247,11.860069725554617,52.44248066397079,1.1422153965335893,0.5880163398316768,17.65833850515257,10,data\raw\comsol\arch_baseline_pin\Aging\Stress_matrix_jv_003_updated.csv
