mode,case_id,tage_hours_h,PCE_pct,Vmpp_V,Jmpp_mAcm2,Voc_V,Jsc_mAcm2,FF,PCE_norm,Dmaster,Rs_ohm,Rsh_ohm,Nt_1pm3,S_mps,Qf_Cpm2,scenario_family,scenario_label,scenario_short,case_knob_short,active_Rs,active_Rsh,active_Nt,active_Qf,active_S
0,1,2000.0,17.48697830884308,0.95,18.407345588255875,1.0984522547033682,21.321973468581543,0.7466312927495999,0.8190801659399827,0.8646647167633873,11.11111111111111,9920.47328193234,1.1375976601160646e+23,79.17317734107098,0.001037597660116,leave_one_out,Full coupled except Rs (series resistance),leave_out_Rs,Rs,False,True,True,True,True
0,1,2500.0,16.995803035195415,0.95,17.89031898441623,1.0953052862840549,21.304953201969862,0.7283261799475211,0.7960737941392297,0.9179150013761012,11.11111111111111,7110.041594039107,1.2014980016513212e+23,83.4332001100881,0.0011014980016513,leave_one_out,Full coupled except Rs (series resistance),leave_out_Rs,Rs,False,True,True,True,True
0,1,3000.0,16.506819978206398,0.94,17.560446785325958,1.0929386211633836,21.2946721095119,0.7092456564064308,0.7731701045259209,0.950212931632136,11.11111111111111,5405.428608303934,1.240255517958563e+23,86.01703453057088,0.0011402555179585,leave_one_out,Full coupled except Rs (series resistance),leave_out_Rs,Rs,False,True,True,True,True
0,2,0.0,21.349532116645616,1.05,20.332887730138683,1.1888025451838176,21.621030860046208,0.8306197223604009,1.0,0.0,11.11111111111111,55555.55555555556,9.999999999999998e+21,10.0,0.0,leave_one_out,Full coupled except Rsh (shunt/leakage),leave_out_Rsh,Rsh,True,False,True,True,True
0,2,50.0,20.87319745704227,1.03,20.265240249555603,1.1684334976602098,21.60253656458822,0.8269518695515684,0.9776887541609419,0.0487705754992859,12.216577489094924,55555.55555555556,1.5852469059914314e+22,13.90164603994288,5.8524690599143177e-05,leave_one_out,Full coupled except Rsh (shunt/leakage),leave_out_Rsh,Rsh,True,False,True,True,True
0,2,100.0,20.544756267506532,1.02,20.141917909320128,1.1562791643821546,21.585182270758157,0.8231568056116669,0.9623047547486241,0.0951625819640404,13.268129635629364,55555.55555555556,2.1419509835684857e+22,17.61300655712324,0.00011419509835684856,leave_one_out,Full coupled except Rsh (shunt/leakage),leave_out_Rsh,Rsh,True,False,True,True,True
0,2,250.0,19.925021012509195,1.0,19.925021012509195,1.1372322971283055,21.539106228042755,0.8134332577812253,0.9332767061894639,0.2211992169285951,16.12496002815927,55555.55555555556,3.6543906031431408e+22,27.695937354287608,0.0002654390603143141,leave_one_out,Full coupled except Rsh (shunt/leakage),leave_out_Rsh,Rsh,True,False,True,True,True
0,2,500.0,19.354815514485075,0.98,19.749811749474567,1.1226973426436242,21.478345605796164,0.8026487156506038,0.9065686034119073,0.3934693402873666,20.02974949095809,55555.55555555556,5.7216320834483975e+22,41.47754722298933,0.0004721632083448399,leave_one_out,Full coupled except Rsh (shunt/leakage),leave_out_Rsh,Rsh,True,False,True,True,True
0,2,750.0,19.010235189565126,0.97,19.5981806077991,1.1147997441994242,21.432531124500127,0.7956410216888711,0.8904286560333279,0.5276334472589853,23.070802582314776,55555.55555555556,7.331601367107823e+22,52.21067578071882,0.0006331601367107824,leave_one_out,Full coupled except Rsh (shunt/leakage),leave_out_Rsh,Rsh,True,False,True,True,True
0,2,1000.0,18.776272489214698,0.97,19.356981947644023,1.1100673783488624,21.39764401758525,0.7904858149065892,0.8794699755773747,0.6321205588285577,25.43917711122508,55555.55555555556,8.58544670594269e+22,60.56964470628461,0.0007585446705942691,leave_one_out,Full coupled except Rsh (shunt/leakage),leave_out_Rsh,Rsh,True,False,True,True,True
0,2,1500.0,18.486248288820136,0.96,19.25650863418764,1.1038124140494687,21.350255624818512,0.7844231976582978,0.8658854061914987,0.7768698398515702,28.720160814413365,55555.55555555556,1.032243807821884e+23,72.14958718812562,0.0009322438078218842,leave_one_out,Full coupled except Rsh (shunt/leakage),leave_out_Rsh,Rsh,True,False,True,True,True
0,2,2000.0,18.319288851071306,0.96,19.082592553199277,1.1007952854566427,21.321973468581543,0.7805031335467245,0.8580651206303619,0.8646647167633873,30.710178024414557,55555.55555555556,1.1375976601160646e+23,79.17317734107098,0.001037597660116,leave_one_out,Full coupled except Rsh (shunt/leakage),leave_out_Rsh,Rsh,True,False,True,True,True
0,2,2500.0,18.225671405780595,0.95,19.18491726924273,1.0989364544268836,21.304953201969862,0.7784493694785916,0.8536801324826488,0.9179150013761012,31.917184475636077,55555.55555555556,1.2014980016513212e+23,83.4332001100881,0.0011014980016513,leave_one_out,Full coupled except Rsh (shunt/leakage),leave_out_Rsh,Rsh,True,False,True,True,True
0,2,3000.0,18.170263262884077,0.95,19.126592908299028,1.0977673810190713,21.2946721095119,0.7772843799681851,0.8510848464317046,0.950212931632136,32.64927089477286,55555.55555555556,1.240255517958563e+23,86.01703453057088,0.0011402555179585,leave_one_out,Full coupled except Rsh (shunt/leakage),leave_out_Rsh,Rsh,True,False,True,True,True
0,3,0.0,21.349532116645616,1.05,20.332887730138683,1.1888025451838176,21.621030860046208,0.8306197223604009,1.0,0.0,11.11111111111111,55555.55555555556,9.999999999999998e+21,10.0,0.0,leave_one_out,Full coupled except Nt (trap density / SRH),leave_out_Nt,Nt,True,True,False,True,True
0,3,50.0,21.38102961386763,1.05,20.362885346540597,1.188661974152067,21.62120044994069,0.8319370047653059,1.0014753249415453,0.0487705754992859,12.216577489094924,52981.55295975991,9.999999999999998e+21,13.90164603994288,5.8524690599143177e-05,leave_one_out,Full coupled except Nt (trap density / SRH),leave_out_Nt,Nt,True,True,False,True,True
0,3,100.0,21.407310422803466,1.05,20.38791468838425,1.1888740509569367,21.6213540879587,0.8328050874666516,1.0027063031565362,0.0951625819640404,13.268129635629364,50533.08595189786,9.999999999999998e+21,17.61300655712324,0.00011419509835684856,leave_one_out,Full coupled except Nt (trap density / SRH),leave_out_Nt,Nt,True,True,False,True,True
0,3,250.0,21.455719528926323,1.05,20.434018598977453,1.1904086691995823,21.62173715108349,0.8335975297200243,1.0049737582866238,0.2211992169285951,16.12496002815927,43881.152439879705,9.999999999999998e+21,27.695937354287608,0.0002654390603143141,leave_one_out,Full coupled except Nt (trap density / SRH),leave_out_Nt,Nt,True,True,False,True,True
0,3,500.0,21.477910693942853,1.06,20.262179899946084,1.1929285438746424,21.62219063294874,0.8326795712343865,1.00601317989527,0.3934693402873666,20.02974949095809,34789.1181515001,9.999999999999998e+21,41.47754722298933,0.0004721632083448399,leave_one_out,Full coupled except Nt (trap density / SRH),leave_out_Nt,Nt,True,True,False,True,True
0,3,750.0,21.445883319067363,1.06,20.231965395346567,1.1947193256504522,21.622496045082045,0.8301799179594862,1.0045130357843592,0.5276334472589853,23.070802582314776,27708.234727998,9.999999999999998e+21,52.21067578071882,0.0006331601367107824,leave_one_out,Full coupled except Nt (trap density / SRH),leave_out_Nt,Nt,True,True,False,True,True
0,3,1000.0,21.370548372949052,1.06,20.16089469146137,1.1958747360445305,21.622709586669444,0.8264562339872377,1.0009843895495514,0.6321205588285577,25.43917711122508,22193.637172937237,9.999999999999998e+21,60.56964470628461,0.0007585446705942691,leave_one_out,Full coupled except Nt (trap density / SRH),leave_out_Nt,Nt,True,True,False,True,True
